14  4.04748e-06 7.60247e-08 -3.92452e-06 -7.95447e-06 -1.20142e-05 -1.61039e-05 -2.02241e-05 -2.4375e-05 -2.85569e-05 -3.27703e-05 -3.70155e-05 -4.12929e-05 -4.56028e-05 -4.99455e-05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
15  1.93446e-06 -2.17852e-06 -6.3238e-06 -1.05018e-05 -1.47128e-05 -1.89572e-05 -2.32356e-05 -2.75482e-05 -3.18954e-05 -3.62778e-05 -4.06957e-05 -4.51495e-05 -4.96398e-05 -5.41669e-05 -5.87313e-05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
16  -1.78562e-07 -4.43425e-06 -8.72559e-06 -1.3053e-05 -1.74171e-05 -2.18181e-05 -2.62567e-05 -3.07332e-05 -3.52483e-05 -3.98023e-05 -4.43958e-05 -4.90293e-05 -5.37033e-05 -5.84183e-05 -6.3175e-05 -6.79738e-05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
17  -2.29158e-06 -6.69115e-06 -1.11299e-05 -1.56084e-05 -2.01271e-05 -2.46866e-05 -2.92875e-05 -3.39303e-05 -3.86156e-05 -4.33439e-05 -4.8116e-05 -5.29323e-05 -5.77935e-05 -6.27003e-05 -6.76532e-05 -7.2653e-05 -7.77002e-05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
18  -4.4046e-06 -8.94923e-06 -1.35367e-05 -1.81677e-05 -2.28429e-05 -2.75627e-05 -3.2328e-05 -3.71393e-05 -4.19974e-05 -4.69028e-05 -5.18564e-05 -5.68588e-05 -6.19107e-05 -6.7013e-05 -7.21662e-05 -7.73713e-05 -8.26289e-05 -8.794e-05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
19  -6.51763e-06 -1.12085e-05 -1.59461e-05 -2.07312e-05 -2.55644e-05 -3.04465e-05 -3.53783e-05 -4.03605e-05 -4.53938e-05 -5.04792e-05 -5.56173e-05 -6.08091e-05 -6.60552e-05 -7.13568e-05 -7.67145e-05 -8.21293e-05 -8.76021e-05 -9.31339e-05 -9.87255e-05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20  -8.63065e-06 -1.34689e-05 -1.8358e-05 -2.32986e-05 -2.82917e-05 -3.3338e-05 -3.84384e-05 -4.35938e-05 -4.8805e-05 -5.4073e-05 -5.93988e-05 -6.47832e-05 -7.02273e-05 -7.5732e-05 -8.12984e-05 -8.69275e-05 -9.26203e-05 -9.8378e-05 -0.000104202 -0.000110093 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
21  -1.07437e-05 -1.57305e-05 -2.07724e-05 -2.58702e-05 -3.10248e-05 -3.62372e-05 -4.15083e-05 -4.68393e-05 -5.2231e-05 -5.76846e-05 -6.32011e-05 -6.87816e-05 -7.44272e-05 -8.01391e-05 -8.59184e-05 -9.17664e-05 -9.76843e-05 -0.000103673 -0.000109735 -0.00011587 -0.00012208 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
22  -1.28567e-05 -1.79933e-05 -2.31894e-05 -2.84458e-05 -3.37637e-05 -3.91441e-05 -4.45882e-05 -5.00971e-05 -5.56719e-05 -6.13139e-05 -6.70243e-05 -7.28043e-05 -7.86552e-05 -8.45783e-05 -9.05749e-05 -9.66465e-05 -0.000102795 -0.00010902 -0.000115325 -0.000121711 -0.000128179 -0.000134732 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
23  -1.49697e-05 -2.02573e-05 -2.56088e-05 -3.10255e-05 -3.65084e-05 -4.20588e-05 -4.7678e-05 -5.33672e-05 -5.91278e-05 -6.49612e-05 -7.08686e-05 -7.68516e-05 -8.29115e-05 -8.905e-05 -9.52684e-05 -0.000101568 -0.000107952 -0.00011442 -0.000120974 -0.000127617 -0.000134351 -0.000141176 -0.000148095 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
